K = 20;

P = [ 14 17 45 53 32 24 34 32 16 65 26 32 98 96 37 83 28 10 33 84 ];

R = [ 29 11 1 12 24 16 18 13 19 45 24 10 32 45 38 4 42 49 13 34 ];

A = [ 5 3 4 4 4 6 5 4 4 4 3 4 3 4 3 3 6 6 3 3 ];

C = [ 9 4 9 4 6 9 3 9 2 6 2 4 4 2 2 2 7 6 7 3 ];

N = 10;

M = [
[ 0 32 18 5 35 9 12 30 30 29 ]
[ 32 0 45 45 45 1 6 20 22 13 ]
[ 18 45 0 38 47 23 49 14 42 42 ]
[ 5 45 38 0 13 11 23 31 48 48 ]
[ 35 45 47 13 0 25 30 49 33 36 ]
[ 9 1 23 11 25 0 31 36 7 27 ]
[ 12 6 49 23 30 31 0 40 36 5 ]
[ 30 20 14 31 49 36 40 0 45 22 ]
[ 30 22 42 48 33 7 36 45 0 3 ]
[ 29 13 42 48 36 27 5 22 3 0 ]
 ];

